Column1,Column2,Column3
"Home Runs
All Time Leaders | 'Top 1,000'","Home Runs
All Time Leaders | 'Top 1,000'","Home Runs
All Time Leaders | 'Top 1,000'"
Name,Home Runs,Rank
Mickey Tettleton,245,
Hunter Pence,244,264
Lou Whitaker,244,
Hack Wilson,244,
Dusty Baker,242,267
Sal Bando,242,
Wally Berger,242,
Roy Campanella,242,
J.D. Drew,242,
Aubrey Huff,242,
Kyle Seager,242,
David Wright,242,
Jesse Barfield,241,275
Cecil Cooper,241,
Rick Monday,241,
Jeff Burroughs,240,278
Roberto Clemente,240,
Dolph Camilli,239,280
Ken Caminiti,239,
Earl Averill,238,282
Ray Lankford,238,
Marcus Semien,238,
Doug DeCinces,237,285
Gus Zernial,237,
Gabby Hartnett,236,287
Johnny Damon,235,288
Bill Nicholson,235,
Ben Oglivie,235,
Dan Uggla,235,
Carlos González,234,292
Gary Matthews,234,
Kevin Mitchell,234,
Paul Molitor,234,
Nick Castellanos,233,296
Cliff Floyd,233,
Jimmy Rollins,231,298
Rob Deer,230,299
Jose Altuve,229,300
Nomar Garciaparra,229,
Jayson Werth,229,
Howard Johnson,228,303
Dick Stuart,228,
Hal Trosky,228,
Charlie Blackmon,227,306
Marquis Grissom,227,
Pete Alonso,226,308
Johnny Callison,226,
Shohei Ohtani,225,310
Troy Tulowitzki,225,
Bobby Grich,224,312
Bobby Doerr,223,313
Travis Fryman,223,
Mike Lowell,223,
Jason Bay,222,316
Don Mattingly,222,
Tony Batista,221,318
Khris Davis,221,
Geoff Jenkins,221,
Tony Oliva,220,321
Jim Bottomley,219,322
Al Oliver,219,
Joe Pepitone,219,
Shin-Soo Choo,218,325
Todd Frazier,218,
Bob Horner,218,
Mark Trumbo,218,
Benito Santiago,217,329
Ron Fairly,215,330
Pedro Guerrero,215,
Chet Lemon,215,
Mike Moustakas,215,
Mike Sweeney,215,
Jeff Conine,214,335
Jose Guillen,214,
Travis Hafner,213,337
Kendrys Morales,213,
Andy Pafko,213,
Kevin McReynolds,211,340
Brandon Phillips,211,
Bill Skowron,211,
Leon Wagner,211,
Roberto Alomar,210,344
Brady Anderson,210,
Rico Petrocelli,210,
Wally Post,210,
Joc Pederson,209,348
Joey Gallo,208,349
Phil Nevin,208,
Jason Thompson,208,
Devon White,208,
Kirby Puckett,207,353
Richie Zisk,207,
Felipe Alou,206,355
Gus Bell,206,
Pete Incaviglia,206,
Joe Medwick,205,358
Rico Carty,204,359
José Cruz,204,
Wally Joyner,204,
Christian Yelich,204,
Randal Grichuk,203,363
Richie Hebner,203,
Bill Dickey,202,365
Carl Everett,202,
Sid Gordon,202,
Todd Hundley,202,
Jhonny Peralta,202,
Bill White,202,
Buddy Bell,201,371
Juan Soto,201,
